question,intent,entities,answer
Can you explain Do you have customer support? today,contact_query,,Customer support is available during business hours.
Can you explain Do you have customer support? quickly,contact_query,,You can contact us through our website.
Can you explain What is the price of 1 liter bottle? right now,price_query,,Bulk pricing is available for large orders.
Could you tell me Is the water safe to drink? in Pune,quality_query,Pune,Our water goes through advanced purification.
Can you explain Is same day delivery available? for business use,delivery_query,,Delivery usually takes 2 hours.
Could you tell me Do you have customer support? for business use,contact_query,,Customer support is available during business hours.
May I know Do you print logos on bottles? for business use,branding_query,,Custom branding is available for bulk orders.
Give information about Can I get water delivery today? quickly,delivery_query,,We deliver 20L jars and bottled water.
Please help me with Do you deliver 20L jars? for business use,delivery_query,20L Jar,Same day delivery is available.
Could you tell me How do I place an order? in Pune,contact_query,Pune,Please use the contact form for assistance.
Please tell me Do you have customer support? today,contact_query,,Customer support is available during business hours.
Can you explain Is the water safe to drink? today,quality_query,,Our water goes through advanced purification.
Can you explain How can I contact you? quickly,contact_query,,You can contact us through our website.
Could you tell me Is the water safe to drink? right now,quality_query,,We use multi-stage filtration and RO purification.
Please help me with How do I place an order? right now,contact_query,,Please use the contact form for assistance.
Please help me with Can I call for orders? for home delivery,contact_query,,Customer support is available during business hours.
Please help me with Do you use RO filtration? for business use,quality_query,,We use multi-stage filtration and RO purification.
Give information about How can I contact you? right now,contact_query,,Customer support is available during business hours.
Could you tell me Namaste in Pune,greeting,Pune,Welcome to our AI assistant.
Give information about Do you provide delivery in Pune? for home delivery,delivery_query,Pune,"Yes, we provide delivery across Pune."
Could you tell me Is the water safe to drink? in Pune,quality_query,Pune,We use multi-stage filtration and RO purification.
May I know Can I call for orders? today,contact_query,,Customer support is available during business hours.
Give information about Do you offer bulk pricing? for business use,price_query,,The 20L refill jar costs approximately ₹40.
Could you tell me Is the water safe to drink? in PCMC,quality_query,PCMC,We use multi-stage filtration and RO purification.
Give information about How long does delivery take? right now,delivery_query,,Delivery usually takes 2 hours.
Please tell me Do you offer private labeling? in PCMC,branding_query,PCMC,We offer logo printing on water bottles.
May I know Can I call for orders? quickly,contact_query,,Please use the contact form for assistance.
Please help me with How long does delivery take? for business use,delivery_query,,Same day delivery is available.
Can you explain Tell me the bottle prices. today,price_query,,Bulk pricing is available for large orders.
Can you explain Tell me the bottle prices. in PCMC,price_query,PCMC,Bulk pricing is available for large orders.
Give information about Is same day delivery available? today,delivery_query,,Same day delivery is available.
I want to know Do you deliver 20L jars? in PCMC,delivery_query,"PCMC, 20L Jar",Delivery usually takes 2 hours.
Please tell me Is your water purified? today,quality_query,,Our water goes through advanced purification.
May I know Do you print logos on bottles? quickly,branding_query,,Custom branding is available for bulk orders.
Could you tell me How can I contact you? quickly,contact_query,,You can contact us through our website.
Could you tell me How long does delivery take? quickly,delivery_query,,"Yes, we provide delivery across Pune."
Please help me with What is the price of 1 liter bottle? quickly,price_query,,Bulk pricing is available for large orders.
Can you explain What is the price of 1 liter bottle? in Pune,price_query,Pune,The 1 liter bottle costs around ₹18.
Can you explain Hi quickly,greeting,,Hello! Welcome to Gagangiri Foods.
Could you tell me Can I call for orders? right now,contact_query,,You can contact us through our website.
Please help me with Good morning quickly,greeting,,Hello! Welcome to Gagangiri Foods.
Give information about Do you provide branded bottles? today,branding_query,,We offer logo printing on water bottles.
May I know Do you provide branded bottles? today,branding_query,,"Yes, we provide private labeling services."
I want to know Hey right now,greeting,,Hi! How can we help you today?
Please tell me Do you offer private labeling? quickly,branding_query,,We offer logo printing on water bottles.
Please tell me How can I contact you? today,contact_query,,Customer support is available during business hours.
Please tell me What is the price of 1 liter bottle? right now,price_query,,The 1 liter bottle costs around ₹18.
May I know Is the water safe to drink? for home delivery,quality_query,,"Yes, our water is hygienic and safe."
I want to know Hello quickly,greeting,,Hi! How can we help you today?
Can you explain Do you print logos on bottles? quickly,branding_query,,We offer logo printing on water bottles.
May I know Is same day delivery available? in PCMC,delivery_query,PCMC,We deliver 20L jars and bottled water.
Give information about Good evening for business use,greeting,,Hello! Welcome to Gagangiri Foods.
Please tell me Do you offer private labeling? right now,branding_query,,"Yes, we provide private labeling services."
Give information about Do you use RO filtration? right now,quality_query,,"Yes, our water is hygienic and safe."
May I know How much is the 20L jar? today,price_query,20L Jar,Bulk pricing is available for large orders.
Please tell me Do you provide branded bottles? for home delivery,branding_query,,We offer logo printing on water bottles.
Please help me with Do you have customer support? right now,contact_query,,Customer support is available during business hours.
Please help me with Can I customize water bottles? in Pune,branding_query,Pune,Custom branding is available for bulk orders.
Please help me with Is same day delivery available? for business use,delivery_query,,Same day delivery is available.
Give information about Good morning in Pune,greeting,Pune,Hi! How can we help you today?
